from,to
2d,6d
2d,union
2d,sz
2d,122d
2d,148d
2d,loz
3d,6d
4d,6d
5d,6d
7d,17d
7d,union
7d,123d
7d,124d
7d,125d
8d,17d
8d,126d
8d,axsp
9d,17d
9d,148d
9d,az
10d,17d
11d,17d
12d,17d
13d,17d
13d,148d
14d,17d
15d,17d
16d,17d
18d,25d
19d,25d
20d,25d
21d,25d
22d,25d
23d,25d
24d,25d
26d,32d
26d,128d
27d,32d
27d,br
27d,130d
27d,131d
28d,32d
29d,32d
30d,32d
30d,br
31d,32d
33d,38d
34d,38d
34d,dpa
35d,38d
35d,zdf
35d,sz
35d,foc
35d,133d
35d,ard
35d,126d
36d,38d
37d,38d
39d,48d
40d,48d
41d,48d
42d,48d
43d,48d
44d,48d
45d,48d
46d,48d
49d,60d
49d,134d
49d,foc
49d,axsp
49d,155d
49d,135d
50d,60d
51d,60d
52d,60d
52d,136d
52d,foc
52d,128d
53d,60d
54d,60d
54d,137d
55d,60d
55d,foc
56d,60d
56d,sz
56d,br
57d,60d
57d,151d
57d,150d
57d,148d
58d,60d
59d,134d
59d,152d
61d,65d
62d,65d
63d,65d
64d,65d
66d,70d
67d,70d
68d,70d
69d,70d
69d,153d
69d,148d
69d,154d
69d,155d
71d,77d
71d,128d
72d,77d
72d,148d
73d,77d
74d,77d
75d,77d
75d,140d
75d,126d
76d,77d
76d,126d
76d,br
76d,zdf
76d,union
78d,92d
79d,92d
79d,sz
79d,128d
79d,138d
80d,92d
80d,br
80d,139d
80d,140d
80d,126d
81d,92d
81d,141d
81d,142d
82d,92d
82d,union
83d,92d
83d,dpa
83d,144d
84d,92d
85d,92d
86d,92d
87d,92d
87d,hbl
87d,zdf
88d,92d
88d,133d
88d,158d
88d,128d
88d,br
88d,134d
89d,92d
89d,159d
89d,gruene
90d,92d
90d,160d
91d,92d
93d,97d
94d,97d
95d,97d
95d,161d
96d,97d
98d,108d
98d,117d
98d,118d
99d,108d
99d,119d
99d,120d
99d,sz
100d,108d
100d,union
100d,119d
100d,120d
100d,145d
100d,146d
101d,108d
101d,119d
101d,120d
102d,108d
102d,union
102d,119d
102d,120d
102d,128d
103d,108d
103d,119d
103d,120d
104d,108d
104d,119d
104d,120d
105d,108d
105d,119d
105d,120d
105d,149d
105d,162d
106d,108d
106d,116d
106d,117d
106d,118d
106d,119d
107d,108d
107d,119d
107d,120d
109d,115d
109d,119d
109d,120d
109d,164d
109d,ard
110d,115d
110d,117d
110d,118d
110d,119d
110d,120d
111d,115d
112d,115d
113d,115d
113d,119d
113d,120d
113d,155d
113d,164d
113d,axsp
114d,115d
114d,119d
114d,120d
114d,163d
114d,axsp
sk,bka
sk,sz
sk,k2
sm,bka
sm,spd
sm,k2
ms,bmvg
ms,k2
ms,ard
ms,spd
mm,bmvg
mm,k2
kd,aa
kd,k2
mg,aa
mg,k2
sf,bmi
sf,k2
sf,ard
sf,wdr
sko,bmi
sko,k2
mk,bmf
mk,k2
al,bmf
al,k2
kw,bmwe
kw,k2
su,bmwe
su,k2
sb,bmleh
sb,k2
sb,br
sb,dwe
sb,ntv
fp,k2
fp,bmleh
fp,gruene
ld,bmz
ld,k2
ld,spd
aab,bmz
aab,k2
aab,ard
aab,zdf
cw,k3
cw,aa
sfi,k3
sfi,aa
ks,k3
ks,bmftr
jc,bmjv
jc,k2
jc,ard
jc,rbb
jc,ntv
jc,axsp
eh,bmjv
eh,k2
eh,union
gl,bmv
gl,k2
gl,swr
gl,union
jb,bmv
jb,k2
hb,bmg
hb,k2
hb,union
sg,bmg
sg,k2
sg,hme
nf,bmu
nf,k2
nf,taz
ak,bmu
ak,k2
apf,bmb
apf,k2
apf,union
dl,bmb
dl,k2
dl,ard
dl,faz
dl,str
dl,ze
bk,bmds
bk,k2
bk,union
fd,bmds
fd,k2
ie,bmas
ie,k2
ie,loz
ts,bmas
ts,k2
cha,bmftr
cha,k2
cha,loz
cha,union
sh,bka
sh,k3
sh,loz
sh,dmr
sh,spd
wb,bka
wb,k3
wb,dsp
wb,dpa
wb,rnd
wb,fdp
ct,bmvg
ct,k3
ct,ard
ac,bmvg
ac,k3
cho,bka
cho,k3
cho,dsp
cho,faz
mk,bmi
mk,k3
nk,bmf
nk,k3
fl,bmf
fl,k3
fl,ard
fl,hbl
fl,tas
bb,bmwe
bb,k3
rs,bmwe
rs,k3
jm,bmleh
jm,k3
jm,dpa
eg,bmleh
eg,k3
eg,loz
rz,bmz
rz,k3
rz,loz
nf,bmz
nf,k3
us,bmu
us,k1
us,taz
bl,bmv
bl,k3
bl,fdp
skr,bmjv
skr,k3
hk,bmg
hk,k3
hk,axsp
ph,bmg
ph,k3
msc,bmu
msc,k3
msc,loz
msc,union
mkl,bmb
mkl,k3
mkl,axsp
mkl,dbwv
fh,bmas
fh,k3
ts,bmas
ts,k3
aka,bmb
aka,k3
aka,rtl
aka,wdr
shi,bmv
shi,bmds
shi,dp
shi,k1
shi,k2
shi,bka
shi,union
tj,k1
tj,bmb
ka,bmg
ka,k1
jg,k1
jg,bmleh
jg,k1
jg,faz
jg,sz
ju,k1
ju,bmleh
ju,lor
dg,k1
dg,bmwe
dg,union
bg,bmi
bg,k1
cb,aa
cb,k1
bn,bmvg
bn,k1
jf,k1
jf,bmvg
cwi,k1
cwi,bka
cwi,dlf
cwi,sz
gs,k1
gs,bka
gs,ste
gs,axsp
gs,loz
ssh,k1
ssh,bka
ssh,lor
ssh,union
mf,k1
mf,bka
mf,wdr
mf,zdf
mf,axsp
mf,foc
ud,k1
ud,bka
ud,rbb
ud,zdf
ud,sz
ud,dsp
ud,foc
ss,k1
ss,bka
ss,zdf
ss,union
k1,union
k2,union
k3,spd
2c,wdr
2c,30c
3c,31c
4c,43c
5c,rtl
5c,33c
6c,axsp
6c,34c
7c,35c
8c,36c
9c,37c
10c,37c
11c,37c
12c,37c
13c,37c
14c,44c
14c,28c
15c,28c
15c,38c
16c,41c
17c,30c
18c,foc
18c,33c
19c,42c
19c,39c
20c,40c
21c,40c
21c,dpa
22c,40c
23c,40c
24c,40c
24c,29c
25c,35c
26c,40c
MGb,staab
MGb,gruene
ABb,staab
NEAb,innb
CDb,innb
SEb,fib
SEb,swr
SEb,zdf
JBb,fib
JSb,kulb
JSb,dsp
JSb,ap
JSb,taz
JSb,mm
FSb,kulb
FSb,loz
RBb,wissb
RBb,dpa
RBb,loz
MSb,wissb
MSb,sz
SBb,umwb
CHb,umwb
CHb,loz
ASb,wirtb
ASb,loz
ASb,loz
MISb,wirtb
MJb,sozib
MJb,taz
MJb,az
CKb,sozib
CKb,gruene
AHb,justizb
JKb,justizb
BHb,verkb
BHb,gruene
WBb,verkb
WBb,stz
WBb,dpa
WBb,loz
JEb,ernaeb
JEb,union
SSb,ernaeb
RWb,wohnb
RWb,stn
RHb,staab
RHb,gruene
DBb,wissb
AAb,justizb
AAb,union
GCb,justizb
ENb,verkb
ENb,dpa
BRb,kulb
BRb,jrv
BRb,kick
HLb,kulb
BJb,umwb
BJb,gruene
BJb,loz
BJb,loz
IKb,ernaeb
IKb,union
RSb,justizb
RSb,union
MEJb,wirtb
KLb,wirtb
RHeb,umwb
RHeb,swr
CSb,kulb
CSb,spd
MASb,fib
AMb,fib
JNHb,fib
MRb,fib
SWb,wirtb
SWb,axsp
EGb,kulb
ERb,kulb
ERb,stz








